Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,
15026,Fine Particulate Matter,2013-03-13,9,9,11,12,13,13,13,13,10,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,
15026,Fine Particulate Matter,2013-03-14,0,0,0,1,1,1,1,1,1,1,1,1,1,2,3,3,4,4,6,9,12,14,11,10,
15026,Fine Particulate Matter,2013-03-15,9,9,11,12,14,19,23,21,24,28,31,33,31,22,20,13,8,7,8,4,4,4,3,4,
15026,Fine Particulate Matter,2013-03-16,3,2,2,3,3,4,4,6,5,5,5,4,4,4,4,6,8,8,6,6,5,4,3,3,
15026,Fine Particulate Matter,2013-03-17,4,9,8,9,7,6,4,4,5,2,3,2,2,1,1,1,2,1,2,3,4,5,7,7,
15026,Fine Particulate Matter,2013-03-18,7,7,5,4,4,5,6,7,8,11,13,13,11,11,11,10,8,8,8,5,3,3,6,11,
15026,Fine Particulate Matter,2013-03-19,12,15,14,14,17,22,26,17,12,10,10,11,11,10,8,8,8,8,6,6,7,7,8,9,
15026,Fine Particulate Matter,2013-03-20,8,7,6,5,5,5,6,6,6,5,5,4,3,3,3,4,4,4,5,5,6,6,6,6,
15026,Fine Particulate Matter,2013-03-21,6,6,7,7,8,8,11,10,11,12,12,11,10,4,3,2,3,4,5,4,4,3,3,4,
15026,Fine Particulate Matter,2013-03-22,3,4,4,3,4,4,4,4,5,5,5,5,6,6,6,6,8,8,7,8,8,7,8,8,
15026,Fine Particulate Matter,2013-03-23,7,6,5,5,4,3,3,2,1,1,2,2,3,2,2,5,4,7,4,2,3,4,5,8,
15026,Fine Particulate Matter,2013-03-24,6,6,6,7,9,10,11,11,6,3,3,2,1,4,7,4,3,4,5,6,4,4,3,3,
15026,Fine Particulate Matter,2013-03-25,2,1,1,2,2,2,5,6,8,7,7,6,5,4,5,7,4,4,8,12,12,9,10,6,
15026,Fine Particulate Matter,2013-03-26,3,3,3,4,3,4,3,3,3,5,4,3,3,3,4,3,4,6,7,6,4,4,4,4,
15026,Fine Particulate Matter,2013-03-27,3,4,4,6,5,4,4,4,4,4,5,5,5,4,4,4,4,6,8,6,5,4,5,5,
15026,Fine Particulate Matter,2013-03-28,4,3,4,3,4,5,5,5,7,8,5,5,4,3,3,5,3,4,9,6,5,4,8,13,
15026,Fine Particulate Matter,2013-03-29,7,8,7,8,9,12,13,18,19,9,6,4,4,3,2,2,2,2,2,5,4,8,10,10,
15026,Fine Particulate Matter,2013-03-30,19,17,19,16,16,20,17,21,13,10,8,7,7,6,7,7,6,11,13,19,22,19,14,10,
